ID,TeamIdx,BotIdx,PosX,PosY,Action,ActX,ActY
0,1,2,60,60,i,0,0
1,1,2,62,61,i,0,0
2,1,2,65,62,i,0,0
3,1,2,61,63,i,0,0
4,1,2,67,63,i,0,0
5,1,2,69,62,i,0,0
6,1,2,70,64,i,0,0
7,1,2,66,61,i,0,0
8,1,2,62,63,i,0,0
9,1,2,64,64,i,0,0
10,1,2,72,64,i,0,0
11,1,2,70,66,i,0,0
12,1,2,61,65,i,0,0
13,1,2,61,68,i,0,0
14,1,2,73,65,i,0,0
15,1,2,65,65,i,0,0
16,1,2,74,67,i,0,0
17,1,2,76,67,i,0,0
18,1,2,61,73,i,0,0
19,1,6,63,66,i,0,0
20,1,6,70,61,i,0,0
21,1,6,64,68,i,0,0
22,1,6,67,66,i,0,0
23,1,6,74,69,i,0,0
24,1,6,74,64,i,0,0
25,1,6,67,67,i,0,0
26,1,6,76,64,i,0,0
27,1,6,62,74,i,0,0
28,1,6,63,70,i,0,0
29,1,6,63,60,i,0,0
30,1,6,69,68,i,0,0
31,1,6,76,69,i,0,0
32,1,6,69,70,i,0,0
33,1,6,72,62,i,0,0
34,1,6,78,64,i,0,0
35,1,6,70,71,i,0,0
36,1,6,79,70,i,0,0
37,1,6,64,72,i,0,0
38,1,6,66,72,i,0,0
39,1,6,63,76,i,0,0
40,1,6,72,71,i,0,0
41,1,6,71,68,i,0,0
42,1,6,64,77,i,0,0
43,1,6,65,70,i,0,0
44,1,6,70,73,i,0,0
45,1,6,72,73,i,0,0
46,1,6,74,62,i,0,0
47,1,6,64,74,i,0,0
48,1,6,67,74,i,0,0
49,1,6,78,68,i,0,0
50,1,6,61,76,i,0,0
51,1,6,66,75,i,0,0
52,1,6,74,72,i,0,0
53,1,6,77,71,i,0,0
54,1,6,80,63,i,0,0
55,1,6,66,77,i,0,0
56,1,6,74,74,i,0,0
57,1,6,76,73,i,0,0
58,1,6,80,72,i,0,0
59,1,6,76,74,i,0,0
60,1,6,74,76,i,0,0
61,1,6,78,76,i,0,0
62,1,6,80,68,i,0,0
63,1,6,66,79,i,0,0
64,1,6,82,72,i,0,0
65,1,6,72,75,i,0,0
66,1,6,84,72,i,0,0
67,1,6,72,69,i,0,0
68,1,6,63,79,i,0,0
69,1,6,67,81,i,0,0
70,1,6,81,63,i,0,0
71,1,6,69,75,i,0,0
72,1,6,75,61,i,0,0
73,1,6,70,77,i,0,0
74,1,6,79,65,i,0,0
75,1,6,68,82,i,0,0
76,1,6,83,64,i,0,0
77,1,6,62,81,i,0,0
78,1,6,81,74,i,0,0
79,1,6,81,69,i,0,0
80,1,6,62,78,i,0,0
81,1,6,71,79,i,0,0
82,1,6,84,63,i,0,0
83,1,6,79,77,i,0,0
84,1,6,86,71,i,0,0
85,1,6,81,78,i,0,0
86,1,6,75,77,i,0,0
87,1,6,84,65,i,0,0
88,1,6,65,83,i,0,0
