ID,TeamIdx,BotIdx,PosX,PosY,Action,ActX,ActY
0,1,4,60,60,i,0,0
1,1,4,61,61,i,0,0
2,1,5,63,63,i,0,0
3,1,5,63,60,i,0,0
4,1,5,65,63,i,0,0
5,1,5,61,63,i,0,0
6,1,5,62,65,i,0,0
7,1,5,63,67,i,0,0
8,1,5,66,62,i,0,0
9,1,5,67,62,i,0,0
10,1,5,68,64,i,0,0
11,1,5,62,68,i,0,0
12,1,5,65,61,i,0,0
13,1,5,62,70,i,0,0
14,1,5,60,66,i,0,0
15,1,5,70,63,i,0,0
16,1,5,65,64,i,0,0
17,1,5,64,65,i,0,0
18,1,5,64,71,i,0,0
19,1,5,67,65,i,0,0
20,1,5,69,61,i,0,0
21,1,5,64,69,i,0,0
22,1,5,65,66,i,0,0
23,1,5,63,72,i,0,0
24,1,5,70,61,i,0,0
25,1,5,72,61,i,0,0
26,1,5,71,65,i,0,0
27,1,5,66,67,i,0,0
28,1,5,64,74,i,0,0
29,1,5,73,65,i,0,0
30,1,5,61,72,i,0,0
31,1,5,65,72,i,0,0
32,1,5,68,68,i,0,0
33,1,5,75,65,i,0,0
34,1,5,74,67,i,0,0
35,1,5,76,67,i,0,0
36,1,5,77,68,i,0,0
37,1,5,65,69,i,0,0
38,1,5,70,68,i,0,0
39,1,5,63,75,i,0,0
40,1,5,62,73,i,0,0
41,1,5,67,70,i,0,0
42,1,5,79,67,i,0,0
43,1,5,69,66,i,0,0
44,1,5,69,70,i,0,0
45,1,5,74,62,i,0,0
46,1,5,67,72,i,0,0
47,1,5,62,77,i,0,0
48,1,5,63,78,i,0,0
49,1,5,71,70,i,0,0
50,1,5,80,67,i,0,0
51,1,5,73,69,i,0,0
52,1,5,66,75,i,0,0
53,1,5,68,73,i,0,0
54,1,5,74,60,i,0,0
55,1,5,66,76,i,0,0
56,1,5,71,71,i,0,0
57,1,5,69,75,i,0,0
58,1,5,63,80,i,0,0
59,1,5,79,69,i,0,0
60,1,5,71,75,i,0,0
61,1,5,61,75,i,0,0
62,1,5,69,76,i,0,0
63,1,5,71,73,i,0,0
64,1,5,80,70,i,0,0
65,1,5,75,61,i,0,0
66,1,5,73,71,i,0,0
67,1,5,72,68,i,0,0
68,1,5,74,71,i,0,0
69,1,5,73,73,i,0,0
70,1,5,81,69,i,0,0
71,1,5,72,74,i,0,0
72,1,5,64,81,i,0,0
73,1,5,82,68,i,0,0
74,1,5,69,78,i,0,0
75,1,5,75,73,i,0,0
76,1,5,82,71,i,0,0
77,1,5,77,61,i,0,0
78,1,5,67,76,i,0,0
79,1,5,70,79,i,0,0
80,1,5,76,74,i,0,0
81,1,5,85,69,i,0,0
82,1,5,70,80,i,0,0
83,1,5,60,79,i,0,0
84,1,5,66,78,i,0,0
85,1,5,65,79,i,0,0
86,1,5,86,70,i,0,0
87,1,5,70,77,i,0,0
88,1,5,79,61,i,0,0
89,1,5,85,73,i,0,0
90,1,5,76,71,i,0,0
91,1,5,72,77,i,0,0
92,1,5,67,80,i,0,0
93,1,5,69,82,i,0,0
94,1,5,76,63,i,0,0
95,1,5,77,64,i,0,0
96,1,5,74,77,i,0,0
97,1,5,88,74,i,0,0
98,1,5,70,83,i,0,0
99,1,5,74,79,i,0,0
100,1,5,72,84,i,0,0
101,1,5,67,82,i,0,0
102,1,5,71,81,i,0,0
103,1,5,74,75,i,0,0
104,1,5,63,83,i,0,0
105,1,5,87,70,i,0,0
106,1,5,83,70,i,0,0
107,1,5,81,61,i,0,0
108,1,5,67,83,i,0,0
109,1,5,76,76,i,0,0
110,1,5,78,74,i,0,0
111,1,5,77,78,i,0,0
112,1,5,80,76,i,0,0
113,1,5,90,75,i,0,0
114,1,5,79,65,i,0,0
115,1,5,84,71,i,0,0
116,1,5,82,61,i,0,0
117,1,5,80,74,i,0,0
118,1,5,80,64,i,0,0
119,1,5,60,82,i,0,0
120,1,5,78,72,i,0,0
121,1,5,80,77,i,0,0
122,1,5,64,84,i,0,0
123,1,5,82,64,i,0,0
124,1,5,62,84,i,0,0
125,1,5,82,77,i,0,0
126,1,5,63,86,i,0,0
127,1,5,75,81,i,0,0
128,1,5,84,63,i,0,0
129,1,5,81,75,i,0,0
130,1,5,85,62,i,0,0
131,1,5,84,77,i,0,0
132,1,5,76,82,i,0,0
133,1,5,75,69,i,0,0
134,1,5,83,66,i,0,0
135,1,5,89,71,i,0,0
136,1,5,85,64,i,0,0
137,1,5,73,79,i,0,0
138,1,5,61,86,i,0,0
139,1,5,78,79,i,0,0
140,1,5,65,85,i,0,0
141,1,5,87,64,i,0,0
142,1,5,80,79,i,0,0
143,1,5,77,84,i,0,0
144,1,5,84,79,i,0,0
145,1,5,64,88,i,0,0
146,1,5,81,66,i,0,0
147,1,5,80,81,i,0,0
148,1,5,64,89,i,0,0
149,1,5,81,82,i,0,0
150,1,5,69,84,i,0,0
151,1,5,73,85,i,0,0
152,1,5,69,85,i,0,0
153,1,5,91,70,i,0,0
154,1,5,85,67,i,0,0
155,1,5,92,75,i,0,0
156,2,12,140,140,i,0,0
