ID,TeamIdx,BotIdx,PosX,PosY,Action,ActX,ActY
0,1,0,60,60,i,0,0
1,1,13,64,60,i,0,0
2,1,13,68,61,i,0,0
3,1,13,64,64,i,0,0
4,1,20,71,62,i,0,0
5,1,20,73,64,i,0,0
6,1,20,74,61,i,0,0
7,1,20,66,67,i,0,0
8,1,20,67,70,m,70,74
9,1,20,70,70,i,0,0
10,1,20,62,68,m,66,73
11,1,20,66,73,m,69,76
12,1,20,70,66,i,0,0
13,1,20,69,73,i,0,0
14,1,20,77,64,m,79,69
15,1,23,60,63,i,0,0
16,1,26,64,76,i,0,0
17,2,0,140,140,i,0,0
18,2,0,138,138,i,0,0
19,2,0,135,136,i,0,0
20,2,0,133,137,i,0,0
21,2,0,136,140,i,0,0
22,2,0,131,135,i,0,0
23,2,0,128,135,i,0,0
24,2,0,132,132,i,0,0
25,2,0,139,136,i,0,0
26,2,0,130,138,i,0,0
27,2,0,136,133,i,0,0
28,2,0,126,133,i,0,0
29,2,0,136,130,i,0,0
30,2,0,130,130,i,0,0
31,2,0,123,132,i,0,0
32,2,0,133,130,i,0,0
33,2,0,121,129,i,0,0
34,2,0,140,133,i,0,0
35,2,0,126,136,i,0,0
36,2,0,128,129,i,0,0
37,2,0,129,126,i,0,0
38,2,0,131,127,i,0,0
39,2,0,128,139,i,0,0
40,2,0,127,123,i,0,0
41,2,0,133,125,i,0,0
42,2,0,125,130,i,0,0
43,2,0,131,123,i,0,0
44,2,0,118,128,i,0,0
45,2,0,124,124,i,0,0
46,2,0,122,121,i,0,0
47,2,0,121,118,i,0,0
48,2,0,125,127,i,0,0
49,2,0,125,139,i,0,0
50,2,0,126,121,i,0,0
51,2,0,129,121,i,0,0
52,2,0,116,127,i,0,0
53,2,0,122,139,i,0,0
54,2,0,119,117,i,0,0
55,2,0,112,125,i,0,0
56,2,0,109,123,i,0,0
57,2,0,138,128,i,0,0
58,2,0,125,118,i,0,0
59,2,0,137,125,i,0,0
60,2,0,107,122,i,0,0
61,2,0,140,130,i,0,0
62,2,0,121,134,i,0,0
63,2,0,134,122,i,0,0
64,2,0,104,119,i,0,0
65,2,0,123,136,i,0,0
66,2,0,104,122,i,0,0
67,2,0,101,120,i,0,0
68,2,0,118,133,i,0,0
69,2,0,134,119,i,0,0
70,2,0,123,126,i,0,0
71,2,0,137,123,i,0,0
72,2,0,120,126,i,0,0
73,2,0,120,139,i,0,0
74,2,0,117,140,i,0,0
75,2,0,140,120,i,0,0
76,2,0,115,132,i,0,0
77,2,0,132,118,i,0,0
78,2,0,118,114,i,0,0
79,2,0,138,117,i,0,0
80,2,0,115,134,i,0,0
81,2,0,122,116,i,0,0
82,2,0,114,139,i,0,0
83,2,0,126,116,i,0,0
84,2,0,123,113,i,0,0
85,2,0,112,137,i,0,0
86,2,6,120,121,i,0,0
87,2,6,137,119,i,0,0
88,2,6,100,118,i,0,0
89,2,6,118,119,i,0,0
90,2,6,137,115,i,0,0
91,2,6,133,140,i,0,0
92,2,6,110,138,i,0,0
93,2,6,118,137,i,0,0
94,2,6,139,115,i,0,0
95,2,6,134,115,i,0,0
96,2,6,99,116,i,0,0
97,2,6,138,112,i,0,0
98,2,6,125,134,i,0,0
99,2,6,138,134,i,0,0
100,2,6,113,133,i,0,0
101,2,6,114,130,i,0,0
102,2,6,134,114,i,0,0
103,2,6,118,123,i,0,0
104,2,6,111,133,i,0,0
105,2,6,133,111,i,0,0
106,2,6,120,131,i,0,0
107,2,6,109,132,i,0,0
108,2,6,137,112,i,0,0
109,2,6,108,133,i,0,0
110,2,6,113,127,i,0,0
111,2,6,135,128,i,0,0
112,2,6,116,113,i,0,0
113,2,6,114,113,i,0,0
114,2,6,120,123,i,0,0
115,2,6,109,126,i,0,0
0,1,0,65,68,i,0,0
1,1,13,68,67,m,72,73
2,1,13,72,68,m,73,71
3,1,13,68,71,m,70,74
4,1,20,74,68,m,76,72
5,1,20,76,70,m,79,75
6,1,20,77,67,m,78,71
7,1,20,70,72,m,73,76
8,1,20,70,75,m,74,80
9,1,20,74,75,m,77,80
10,1,20,66,73,m,70,78
11,1,20,70,78,m,73,83
12,1,20,73,72,m,76,77
13,1,20,73,78,m,76,83
14,1,20,79,70,m,81,76
15,1,23,64,68,m,67,72
16,1,26,69,81,m,73,85
17,2,0,133,134,i,0,0
18,2,0,131,132,i,0,0
19,2,0,128,129,i,0,0
20,2,0,126,131,i,0,0
21,2,0,129,133,i,0,0
22,2,0,125,128,i,0,0
23,2,0,122,128,i,0,0
24,2,0,125,126,i,0,0
25,2,0,132,129,i,0,0
26,2,0,124,131,i,0,0
27,2,0,128,127,i,0,0
28,2,0,120,126,i,0,0
29,2,0,129,124,i,0,0
30,2,0,123,123,i,0,0
31,2,0,116,125,i,0,0
32,2,0,126,124,i,0,0
33,2,0,115,122,i,0,0
34,2,0,133,127,i,0,0
35,2,0,120,129,i,0,0
36,2,0,121,122,i,0,0
37,2,0,122,120,i,0,0
38,2,0,124,121,i,0,0
39,2,0,122,132,i,0,0
40,2,0,120,117,i,0,0
41,2,0,126,119,i,0,0
42,2,0,119,124,i,0,0
43,2,0,124,117,i,0,0
44,2,0,111,121,i,0,0
45,2,0,117,117,i,0,0
46,2,0,115,115,i,0,0
47,2,0,114,112,i,0,0
48,2,0,118,121,i,0,0
49,2,0,119,132,i,0,0
50,2,0,119,115,i,0,0
51,2,0,122,115,i,0,0
52,2,0,109,119,i,0,0
53,2,0,116,132,i,0,0
54,2,0,111,111,i,0,0
55,2,0,106,118,i,0,0
56,2,0,104,116,i,0,0
57,2,0,130,122,i,0,0
58,2,0,117,112,i,0,0
59,2,0,131,118,i,0,0
60,2,0,101,114,i,0,0
61,2,0,132,124,i,0,0
62,2,0,115,127,i,0,0
63,2,0,128,115,i,0,0
64,2,0,99,111,m,93,104
65,2,0,117,129,i,0,0
66,2,0,98,114,i,0,0
67,2,0,96,113,m,91,105
68,2,0,112,126,i,0,0
69,2,0,128,113,i,0,0
70,2,0,116,120,i,0,0
71,2,0,130,116,i,0,0
72,2,0,113,119,i,0,0
73,2,0,114,132,i,0,0
74,2,0,111,132,i,0,0
75,2,0,133,114,i,0,0
