Net,P1Score,P2Score
-1350,6012,7362
-1350,6012,7362
-1350,6012,7362
-1350,6012,7362
-1350,6012,7362
-1375,6012,7388
-1375,6012,7388
-1238,6150,7388
-1100,6288,7388
-1538,6288,7825
-850,6975,7825
-612,7212,7825
-475,7350,7825
-62,7762,7825
-312,7950,8262
-175,8088,8262
-188,8512,8700
-50,8650,8700
88,8888,8800
-162,9075,9238
-75,9262,9338
25,9462,9438
-362,9512,9875
-362,9512,9875
62,9938,9875
-812,9938,10750
-425,10325,10750
-762,10425,11188
-625,10562,11188
-575,10612,11188
-575,10612,11188
-525,10662,11188
-388,10800,11188
-388,10800,11188
-550,11075,11625
-362,11262,11625
-225,11400,11625
-525,11538,12062
-388,11675,12062
-388,11675,12062
-250,11812,12062
-638,11862,12500
-638,11862,12500
-1075,11862,12938
-1075,11862,12938
-1512,11862,13375
