Net,P1Score,P2Score
162,11700,11538
162,11700,11538
162,11700,11538
162,11700,11538
600,12138,11538
625,12162,11538
1062,12600,11538
962,12600,11638
1000,12738,11738
800,12738,11938
600,12738,12138
500,12738,12238
300,12738,12438
200,12738,12538
0,12738,12738
-100,12738,12838
-300,12738,13038
-400,12738,13138
-600,12738,13338
-700,12738,13438
-800,12738,13538
-1000,12738,13738
-1100,12738,13838
-1300,12738,14038
-1400,12738,14138
-1600,12738,14338
-1700,12738,14438
-1800,12738,14538
-2000,12738,14738
-2100,12738,14838
-2300,12738,15038
-2400,12738,15138
-2600,12738,15338
-2700,12738,15438
-2800,12738,15538
-3000,12738,15738
-3238,12738,15975
-3338,12738,16075
-3538,12738,16275
-3638,12738,16375
-3838,12738,16575
-3938,12738,16675
-4038,12738,16775
-4238,12738,16975
-4475,12738,17212
-4888,12738,17625
-5162,12738,17900
-5362,12738,18100
-5462,12738,18200
-5562,12738,18300
-5762,12738,18500
-5862,12738,18600
-6062,12738,18800
-6162,12738,18900
-6262,12738,19000
-6462,12738,19200
-6900,12738,19638
-7338,12738,20075
-7438,12738,20175
-7875,12738,20612
-8750,12738,21488
-9188,12738,21925
-9625,12738,22362
-10062,12738,22800
-10500,12738,23238
