Net,P1Score,P2Score
1375,12000,10625
1375,12000,10625
1375,12000,10625
1375,12000,10625
1375,12000,10625
1375,12000,10625
1375,12000,10625
1512,12138,10625
1512,12275,10762
1788,12688,10900
2062,12962,10900
2288,13238,10950
2512,14062,11550
2925,14888,11962
3200,15712,12512
2650,16125,13475
2738,16950,14212
2325,17088,14762
2688,17638,14950
2225,17775,15550
2588,18325,15738
2950,18738,15788
3025,19012,15988
3288,19425,16138
3275,19562,16288
3088,19838,16750
3062,20388,17325
3512,20938,17425
3688,21212,17525
4500,22075,17575
4862,22488,17625
5000,22625,17625
