ID,TeamIdx,BotIdx,PosX,PosY,Action,ActX,ActY
0,1,3,60,60,i,0,0
1,1,3,62,61,i,0,0
2,1,3,61,63,i,0,0
3,1,3,64,61,i,0,0
4,1,3,63,63,i,0,0
5,1,3,66,60,i,0,0
6,1,3,67,61,i,0,0
7,1,3,64,65,i,0,0
8,1,8,65,62,i,0,0
9,1,8,62,65,i,0,0
10,1,16,70,62,i,0,0
11,1,16,72,67,i,0,0
12,1,16,66,67,i,0,0
13,1,16,75,63,i,0,0
14,1,16,70,71,i,0,0
15,1,16,79,65,i,0,0
16,1,16,60,67,i,0,0
17,1,16,82,67,i,0,0
18,1,16,83,63,i,0,0
19,1,16,87,64,i,0,0
20,1,16,61,74,i,0,0
21,1,16,85,70,i,0,0
22,1,20,71,75,i,0,0
23,1,20,63,70,i,0,0
24,1,20,89,67,i,0,0
25,1,20,74,74,i,0,0
26,1,20,78,77,m,81,81
27,1,20,92,68,i,0,0
28,1,26,96,68,i,0,0
29,1,26,78,81,i,0,0
30,2,5,140,140,i,0,0
31,2,5,139,138,i,0,0
32,2,5,138,137,i,0,0
33,2,5,136,136,i,0,0
34,2,5,139,135,i,0,0
35,2,5,138,140,i,0,0
36,2,5,139,133,i,0,0
37,2,5,137,134,i,0,0
38,2,5,135,139,i,0,0
39,2,5,137,132,i,0,0
40,2,5,136,130,i,0,0
41,2,5,133,139,i,0,0
42,2,5,134,137,i,0,0
43,2,5,138,128,i,0,0
44,2,5,140,131,i,0,0
45,2,5,135,134,i,0,0
46,2,5,132,137,i,0,0
47,2,5,135,128,i,0,0
48,2,5,132,135,i,0,0
49,2,5,139,126,i,0,0
50,2,5,130,135,i,0,0
51,2,5,133,133,i,0,0
52,2,5,133,127,i,0,0
53,2,5,129,133,i,0,0
54,2,5,126,132,i,0,0
55,2,5,137,126,i,0,0
56,2,5,128,136,i,0,0
57,2,5,135,132,i,0,0
58,2,5,130,138,i,0,0
59,2,5,127,135,i,0,0
60,2,5,127,137,i,0,0
61,2,5,133,125,i,0,0
62,2,5,139,123,i,0,0
63,2,5,136,125,i,0,0
64,2,5,137,122,i,0,0
65,2,5,131,132,i,0,0
66,2,5,131,125,i,0,0
67,2,5,125,134,i,0,0
68,2,5,136,120,i,0,0
69,2,5,129,130,i,0,0
70,2,5,139,121,i,0,0
71,2,5,128,128,i,0,0
72,2,5,125,130,i,0,0
73,2,5,134,131,i,0,0
74,2,5,134,123,i,0,0
75,2,5,122,134,i,0,0
76,2,5,132,129,i,0,0
77,2,5,133,121,i,0,0
78,2,5,125,137,i,0,0
79,2,5,131,128,i,0,0
80,2,5,123,131,i,0,0
81,2,5,132,119,i,0,0
82,2,5,131,140,i,0,0
83,2,5,120,129,i,0,0
84,2,5,139,118,i,0,0
85,2,5,126,128,i,0,0
86,2,5,122,129,i,0,0
87,2,5,133,118,i,0,0
88,2,5,131,123,i,0,0
89,2,5,123,137,i,0,0
90,2,5,138,115,i,0,0
91,2,5,121,135,i,0,0
92,2,5,139,113,i,0,0
93,2,5,129,123,i,0,0
94,2,5,124,126,i,0,0
95,2,5,119,134,i,0,0
96,2,5,128,139,i,0,0
97,2,5,138,111,i,0,0
98,2,5,138,108,i,0,0
99,2,1,119,136,i,0,0
100,2,1,121,138,i,0,0
101,2,1,126,139,i,0,0
102,2,1,135,127,i,0,0
103,2,1,120,127,i,0,0
104,2,1,124,139,i,0,0
105,2,1,131,117,i,0,0
106,2,1,132,116,i,0,0
107,2,1,127,121,i,0,0
108,2,1,118,127,i,0,0
109,2,1,129,125,i,0,0
110,2,1,126,126,i,0,0
111,2,1,125,124,i,0,0
112,2,1,119,138,i,0,0
113,2,1,126,119,i,0,0
114,2,1,118,137,i,0,0
115,2,1,135,118,i,0,0
116,2,1,121,132,i,0,0
117,2,1,119,132,i,0,0
118,2,1,123,123,i,0,0
119,2,1,138,104,i,0,0
120,2,1,135,116,i,0,0
121,2,1,115,125,i,0,0
122,2,1,116,138,i,0,0
123,2,1,130,121,i,0,0
124,2,1,135,114,i,0,0
125,2,1,116,136,i,0,0
126,2,1,117,133,i,0,0
