Net,P1Score,P2Score
1400,13612,12212
1400,13612,12212
1400,13612,12212
1400,13612,12212
1400,13612,12212
1500,13712,12212
1088,13712,12625
1288,14050,12762
975,14150,13175
938,14388,13450
350,14625,14275
512,15062,14550
-112,15262,15375
-975,15500,16475
-750,16138,16888
-1138,16438,17575
-1450,16538,17988
-1425,16975,18400
-1612,17612,19225
-1488,18012,19500
-1938,18250,20188
-2112,18488,20600
-2975,18588,21562
-2975,18725,21700
-3525,18725,22250
-3800,18862,22662
-3700,19100,22800
-4112,19375,23488
-4700,19475,24175
-4562,19612,24175
-4562,19750,24312
-4838,19888,24725
-4838,20025,24862
-5112,20025,25138
-5250,20162,25412
-5250,20162,25412
-5525,20162,25688
-5525,20300,25825
