Net,P1Score,P2Score
100,7350,7250
100,7350,7250
100,7350,7250
100,7350,7250
100,7350,7250
200,7450,7250
0,7450,7450
-100,7550,7650
-800,7650,8450
-900,7750,8650
-1100,7950,9050
-1200,8250,9450
-1400,8450,9850
-1125,8725,9850
-1088,8962,10050
-788,9262,10050
-1438,9362,10800
-1138,9662,10800
-1338,9662,11000
-1025,10175,11200
-1288,10312,11600
-1212,10588,11800
-1375,10825,12200
-1375,10825,12200
-1025,11375,12400
-1088,11512,12600
-738,12062,12800
-525,12475,13000
-788,12612,13400
-850,12750,13600
-1112,12888,14000
-1112,12888,14000
-1312,12888,14200
-1512,12888,14400
-1712,12888,14600
