ID,TeamIdx,BotIdx,PosX,PosY,Action,ActX,ActY
0,1,11,60,60,i,0,0
1,1,10,60,62,i,0,0
2,1,10,62,62,i,0,0
3,1,10,63,64,i,0,0
4,1,10,61,64,i,0,0
5,1,10,62,66,i,0,0
6,1,10,64,62,i,0,0
7,1,10,60,67,i,0,0
8,1,10,66,63,i,0,0
9,1,10,62,68,i,0,0
10,1,10,64,64,i,0,0
11,1,10,65,66,i,0,0
12,1,10,62,60,i,0,0
13,1,10,63,67,i,0,0
14,1,10,67,64,i,0,0
15,1,10,64,68,i,0,0
16,1,10,61,69,i,0,0
17,1,10,63,70,i,0,0
18,1,10,68,62,i,0,0
19,1,10,66,67,i,0,0
20,1,10,69,66,i,0,0
21,1,10,62,71,i,0,0
22,1,10,69,63,i,0,0
23,1,10,62,73,i,0,0
24,1,10,66,69,i,0,0
25,1,10,64,71,i,0,0
26,1,10,68,68,i,0,0
27,1,10,63,74,i,0,0
28,1,10,67,70,i,0,0
29,1,10,69,69,i,0,0
30,1,10,63,76,i,0,0
31,1,10,71,64,i,0,0
32,1,10,65,72,i,0,0
33,1,10,65,60,i,0,0
34,1,10,69,71,i,0,0
35,1,10,70,69,i,0,0
36,2,13,140,140,i,0,0
37,2,13,137,137,i,0,0
38,2,13,138,133,i,0,0
39,2,13,138,129,i,0,0
40,2,13,134,132,i,0,0
41,2,13,130,130,i,0,0
42,2,13,134,138,i,0,0
43,2,13,136,125,i,0,0
44,2,13,135,118,i,0,0
45,2,13,128,126,i,0,0
46,2,13,128,137,i,0,0
47,2,13,125,131,i,0,0
48,2,13,136,114,i,0,0
49,2,13,123,127,i,0,0
50,2,13,124,123,i,0,0
51,2,13,120,122,i,0,0
52,2,13,129,122,i,0,0
53,2,13,125,139,i,0,0
54,2,13,118,127,i,0,0
55,2,13,120,138,i,0,0
56,2,13,119,118,i,0,0
57,2,13,116,139,i,0,0
58,2,13,112,125,i,0,0
59,2,13,112,137,i,0,0
60,2,0,123,134,i,0,0
61,2,0,120,134,i,0,0
62,2,0,131,135,i,0,0
63,2,0,117,121,i,0,0
64,2,0,121,131,i,0,0
65,2,0,135,128,i,0,0
66,2,0,109,122,i,0,0
67,2,0,140,125,i,0,0
68,2,0,123,120,i,0,0
69,2,0,132,125,i,0,0
70,2,0,115,129,i,0,0
71,2,0,116,124,i,0,0
72,2,0,127,119,i,0,0
73,2,0,115,115,i,0,0
74,2,0,116,112,i,0,0
75,2,0,110,135,i,0,0
76,2,0,126,116,i,0,0
77,2,0,133,122,i,0,0
78,2,0,117,134,i,0,0
79,2,0,114,121,i,0,0
80,2,0,132,117,i,0,0
81,2,0,126,114,i,0,0
82,2,0,133,113,i,0,0
83,2,0,130,115,i,0,0
84,2,0,134,110,i,0,0
85,2,0,139,121,i,0,0
86,2,0,119,115,i,0,0
87,2,0,123,115,i,0,0
88,2,0,114,131,i,0,0
89,2,0,137,111,i,0,0
90,2,0,107,121,i,0,0
91,2,0,115,118,i,0,0
92,2,0,112,133,i,0,0
93,2,0,114,110,i,0,0
94,2,0,132,107,i,0,0
95,2,0,131,112,i,0,0
96,2,0,131,140,i,0,0
97,2,0,129,111,i,0,0
0,1,11,70,69,i,0,0
1,1,10,70,71,i,0,0
2,1,10,72,71,i,0,0
3,1,10,73,73,i,0,0
4,1,10,71,73,i,0,0
5,1,10,72,74,i,0,0
6,1,10,73,71,i,0,0
7,1,10,71,75,i,0,0
8,1,10,76,72,i,0,0
9,1,10,72,76,i,0,0
10,1,10,74,73,i,0,0
11,1,10,74,75,i,0,0
12,1,10,72,69,i,0,0
13,1,10,73,75,i,0,0
14,1,10,76,73,i,0,0
15,1,10,74,76,m,83,84
16,1,10,72,77,i,0,0
17,1,10,74,78,i,0,0
18,1,10,77,72,i,0,0
19,1,10,76,76,i,0,0
20,1,10,78,75,i,0,0
21,1,10,73,79,m,82,86
22,1,10,78,73,i,0,0
23,1,10,73,80,m,82,87
24,1,10,76,77,i,0,0
25,1,10,74,79,i,0,0
26,1,10,78,76,i,0,0
27,1,10,74,82,i,0,0
28,1,10,77,79,m,85,85
29,1,10,78,78,i,0,0
30,1,10,74,83,m,83,88
31,1,10,80,73,i,0,0
32,1,10,76,80,i,0,0
33,1,10,74,70,i,0,0
34,1,10,79,79,m,86,85
35,1,10,80,78,i,0,0
36,2,13,134,134,i,0,0
37,2,13,132,131,i,0,0
38,2,13,133,127,i,0,0
39,2,13,132,123,i,0,0
40,2,13,129,126,m,124,122
41,2,13,125,125,m,122,121
42,2,13,128,132,i,0,0
43,2,13,130,120,i,0,0
44,2,13,129,114,m,125,112
45,2,13,123,121,i,0,0
46,2,13,123,131,i,0,0
47,2,13,120,125,m,118,122
48,2,13,130,111,m,126,109
49,2,13,118,121,m,116,119
50,2,13,119,117,m,117,116
51,2,13,115,116,m,114,115
52,2,13,123,117,i,0,0
53,2,13,120,133,i,0,0
54,2,13,113,121,i,0,0
55,2,13,115,132,i,0,0
56,2,13,114,113,i,0,0
57,2,13,111,133,i,0,0
58,2,13,107,119,i,0,0
59,2,13,108,131,m,106,127
60,2,0,117,127,i,0,0
61,2,0,114,127,i,0,0
62,2,0,125,128,i,0,0
63,2,0,111,114,m,108,110
64,2,0,115,124,i,0,0
65,2,0,128,122,i,0,0
66,2,0,103,114,i,0,0
67,2,0,132,119,i,0,0
68,2,0,117,113,m,113,109
69,2,0,125,118,m,119,113
70,2,0,110,122,i,0,0
71,2,0,110,117,i,0,0
72,2,0,120,113,i,0,0
73,2,0,109,108,i,0,0
74,2,0,109,106,m,102,99
75,2,0,104,128,i,0,0
76,2,0,118,110,i,0,0
77,2,0,126,116,i,0,0
78,2,0,110,127,i,0,0
79,2,0,108,114,i,0,0
80,2,0,125,111,i,0,0
81,2,0,119,108,i,0,0
82,2,0,126,107,i,0,0
83,2,0,123,109,i,0,0
84,2,0,126,105,i,0,0
85,2,0,131,116,i,0,0
86,2,0,112,109,i,0,0
87,2,0,116,109,m,113,106
88,2,0,108,123,m,104,117
89,2,0,129,106,i,0,0
90,2,0,101,113,i,0,0
91,2,0,109,111,i,0,0
92,2,0,106,126,i,0,0
93,2,0,107,103,m,102,98
94,2,0,124,102,i,0,0
95,2,0,123,106,i,0,0
96,2,0,124,133,i,0,0
97,2,0,121,105,i,0,0
0,1,11,79,78,a,100,97
1,1,10,80,79,m,89,87
2,1,10,81,80,m,90,88
3,1,10,82,81,m,91,88
4,1,10,81,81,m,90,89
5,1,10,82,83,m,92,91
6,1,10,83,80,m,91,88
7,1,10,81,84,m,90,90
8,1,10,85,81,m,93,90
9,1,10,82,84,m,92,91
10,1,10,84,82,m,93,90
11,1,10,84,83,m,94,92
