Net,P1Score,P2Score
-100,12000,12100
-100,12000,12100
-100,12000,12100
-100,12000,12100
-100,12000,12100
-100,12000,12100
-150,12000,12150
-150,12000,12150
-200,12000,12200
-250,12000,12250
-162,12138,12300
-350,12138,12488
-175,12412,12588
-225,12550,12775
-138,12962,13100
-325,13100,13425
500,13925,13425
725,14475,13750
1000,14888,13888
1088,15162,14075
1362,15988,14625
1625,16400,14775
2175,16950,14775
2450,17362,14912
2762,17912,15150
2562,18050,15488
2350,18188,15838
2975,19012,16038
3138,19425,16288
3400,19975,16575
3900,20525,16625
3750,20662,16912
4462,21625,17162
5188,22450,17262
5825,23138,17312
6188,23550,17362
6462,23962,17500
6462,23962,17500
6462,23962,17500
6462,23962,17500
6600,24100,17500
