ID,TeamIdx,BotIdx,PosX,PosY,Action,ActX,ActY
0,1,0,60,60,i,0,0
1,1,0,62,61,i,0,0
2,1,0,60,64,i,0,0
3,1,0,65,60,i,0,0
4,1,0,67,63,i,0,0
5,1,0,68,65,i,0,0
6,1,0,70,68,i,0,0
7,1,0,63,64,i,0,0
8,1,0,67,68,i,0,0
9,1,0,70,62,i,0,0
10,1,0,64,67,i,0,0
11,1,5,63,69,i,0,0
12,1,5,61,68,i,0,0
13,1,5,71,61,i,0,0
14,1,5,72,67,i,0,0
15,1,5,72,63,i,0,0
16,1,5,72,69,i,0,0
17,1,5,71,64,i,0,0
18,1,5,61,71,i,0,0
19,1,5,74,62,i,0,0
20,1,5,76,62,i,0,0
21,1,5,62,74,i,0,0
22,1,5,75,64,i,0,0
23,1,5,65,69,i,0,0
24,1,5,77,64,i,0,0
25,1,5,70,70,i,0,0
26,1,5,65,71,i,0,0
27,1,5,68,71,i,0,0
28,1,5,74,68,i,0,0
29,1,5,74,70,i,0,0
30,2,1,140,140,i,0,0
31,2,1,139,138,i,0,0
32,2,1,138,137,i,0,0
33,2,1,138,139,i,0,0
34,2,1,136,136,i,0,0
35,2,1,136,139,i,0,0
36,2,1,136,134,i,0,0
37,2,1,134,139,i,0,0
38,2,1,137,133,i,0,0
39,2,1,140,136,i,0,0
40,2,1,139,135,i,0,0
41,2,1,136,131,i,0,0
42,2,1,134,129,i,0,0
43,2,1,138,131,i,0,0
44,2,1,133,129,i,0,0
45,2,1,133,137,i,0,0
46,2,1,131,136,i,0,0
47,2,1,132,139,i,0,0
48,2,1,131,127,i,0,0
49,2,1,135,134,i,0,0
50,2,1,130,135,i,0,0
51,2,1,134,132,i,0,0
52,2,1,133,127,i,0,0
53,2,1,130,139,i,0,0
54,2,5,128,136,i,0,0
55,2,5,139,133,i,0,0
56,2,5,130,126,i,0,0
0,1,0,67,67,i,0,0
1,1,0,69,68,i,0,0
2,1,0,67,70,i,0,0
3,1,0,72,67,i,0,0
4,1,0,73,69,i,0,0
5,1,0,74,72,i,0,0
6,1,0,77,74,i,0,0
7,1,0,70,71,i,0,0
8,1,0,74,74,i,0,0
9,1,0,76,69,i,0,0
10,1,0,71,73,i,0,0
11,1,5,69,74,i,0,0
12,1,5,67,73,i,0,0
13,1,5,77,67,i,0,0
14,1,5,78,72,i,0,0
15,1,5,78,69,i,0,0
16,1,5,78,75,i,0,0
17,1,5,76,70,i,0,0
18,1,5,67,76,i,0,0
19,1,5,79,68,i,0,0
20,1,5,81,68,i,0,0
21,1,5,68,79,i,0,0
22,1,5,80,70,i,0,0
23,1,5,71,75,i,0,0
24,1,5,82,70,i,0,0
25,1,5,76,75,i,0,0
26,1,5,71,76,i,0,0
27,1,5,73,77,i,0,0
28,1,5,79,74,i,0,0
29,1,5,79,76,i,0,0
30,2,1,135,134,i,0,0
31,2,1,134,133,i,0,0
32,2,1,132,132,i,0,0
33,2,1,133,134,i,0,0
34,2,1,131,131,i,0,0
35,2,1,131,134,i,0,0
36,2,1,131,129,i,0,0
37,2,1,129,133,i,0,0
38,2,1,131,127,i,0,0
39,2,1,134,131,i,0,0
40,2,1,133,129,i,0,0
41,2,1,130,125,i,0,0
42,2,1,129,124,i,0,0
43,2,1,132,125,i,0,0
44,2,1,127,123,i,0,0
45,2,1,128,131,i,0,0
46,2,1,126,130,i,0,0
47,2,1,127,133,i,0,0
48,2,1,126,122,i,0,0
49,2,1,129,128,i,0,0
50,2,1,125,129,m,120,123
51,2,1,128,127,i,0,0
52,2,1,128,121,i,0,0
53,2,1,125,133,i,0,0
54,2,5,123,129,i,0,0
55,2,5,134,127,i,0,0
56,2,5,124,121,m,120,117
0,1,0,74,73,i,0,0
1,1,0,76,74,i,0,0
2,1,0,74,76,i,0,0
3,1,0,78,74,i,0,0
4,1,0,80,76,i,0,0
5,1,0,81,78,i,0,0
6,1,0,84,81,m,90,87
7,1,0,77,77,m,82,81
8,1,0,81,81,m,88,87
9,1,0,82,76,i,0,0
10,1,0,78,79,m,83,83
11,1,5,75,79,m,79,83
12,1,5,73,78,m,77,82
13,1,5,82,73,m,86,77
14,1,5,83,78,m,86,81
15,1,5,83,75,m,86,78
16,1,5,83,80,m,86,83
17,1,5,82,76,m,85,79
18,1,5,73,81,m,78,85
19,1,5,84,74,m,88,78
20,1,5,86,74,m,89,77
21,1,5,74,83,m,78,86
22,1,5,86,76,m,88,79
23,1,5,77,80,m,81,83
24,1,5,87,76,m,90,79
25,1,5,81,81,m,84,84
26,1,5,77,82,m,81,85
27,1,5,79,82,m,83,85
28,1,5,85,79,m,87,82
29,1,5,85,81,m,87,84
30,2,1,129,129,i,0,0
31,2,1,128,127,m,123,121
32,2,1,127,126,m,122,121
33,2,1,127,128,m,122,122
34,2,1,125,125,m,121,120
35,2,1,125,128,m,121,122
36,2,1,125,123,m,121,119
37,2,1,124,127,m,119,122
38,2,1,125,122,m,125,121
39,2,1,129,125,m,123,120
40,2,1,128,123,m,123,119
41,2,1,124,120,m,121,116
42,2,1,123,118,m,120,115
43,2,1,126,120,m,126,120
44,2,1,121,118,m,118,115
45,2,1,123,125,m,123,124
46,2,1,121,124,m,117,120
47,2,1,122,127,m,118,122
48,2,1,120,116,m,118,114
49,2,1,124,123,m,120,119
50,2,1,120,123,i,0,0
51,2,1,123,121,m,119,117
52,2,1,122,116,m,119,113
53,2,1,120,127,m,117,122
54,2,5,118,123,m,115,120
55,2,5,128,122,m,123,117
56,2,5,119,115,m,113,110
0,1,0,80,80,m,83,82
1,1,0,83,81,m,84,83
2,1,0,81,83,m,83,84
3,1,0,85,81,m,86,82
4,1,0,86,83,m,87,84
5,1,0,88,85,m,88,85
6,1,0,90,88,m,97,94
7,1,0,84,83,i,0,0
8,1,0,88,87,i,0,0
9,1,0,89,83,m,89,83
10,1,0,85,86,m,92,92
11,1,5,81,84,m,86,88
12,1,5,79,83,m,85,88
13,1,5,87,79,m,91,84
14,1,5,89,84,m,91,87
15,1,5,88,80,m,92,85
16,1,5,89,86,m,94,91
17,1,5,87,82,m,91,86
18,1,5,79,86,m,85,90
19,1,5,89,80,m,93,84
20,1,5,91,80,m,94,84
21,1,5,80,88,m,85,91
22,1,5,91,82,m,93,85
23,1,5,83,85,m,87,89
24,1,5,92,83,m,97,88
25,1,5,87,86,m,93,91
26,1,5,83,87,m,87,90
27,1,5,85,87,m,89,90
28,1,5,90,85,m,95,90
29,1,5,90,87,m,95,92
30,2,1,124,123,m,118,117
31,2,1,123,121,m,118,116
32,2,1,121,120,i,0,0
33,2,1,122,122,m,117,117
34,2,1,120,119,i,0,0
35,2,1,120,122,m,116,117
36,2,1,120,118,m,115,112
37,2,1,119,121,i,0,0
38,2,1,120,116,m,117,113
39,2,1,123,120,m,118,115
40,2,1,122,118,i,0,0
41,2,1,119,114,m,114,110
42,2,1,117,113,m,112,108
43,2,1,121,115,m,118,112
44,2,1,116,112,m,111,108
45,2,1,118,119,m,115,115
46,2,1,116,118,m,112,114
47,2,1,117,121,m,112,115
48,2,1,115,111,m,109,106
49,2,1,118,117,m,114,112
50,2,1,115,117,m,111,111
51,2,1,117,115,m,113,111
52,2,1,116,111,m,112,107
53,2,1,115,121,m,111,115
54,2,5,113,117,m,110,113
55,2,5,122,116,m,116,111
56,2,5,113,110,m,108,105
0,1,0,87,86,m,91,90
1,1,0,90,87,m,93,90
2,1,0,89,89,m,92,92
3,1,0,91,87,m,98,94
4,1,0,93,89,m,98,95
5,1,0,94,92,m,99,98
6,1,0,97,94,m,104,101
7,1,0,91,90,m,96,94
8,1,0,95,94,m,102,96
9,1,0,95,90,m,99,95
10,1,0,93,92,m,100,96
11,1,5,87,89,m,93,94
12,1,5,85,88,m,91,92
13,1,5,92,85,m,96,90
14,1,5,94,90,m,98,94
15,1,5,93,87,m,98,93
16,1,5,95,91,m,99,93
17,1,5,92,87,m,97,93
18,1,5,86,90,m,92,95
19,1,5,94,86,m,99,92
20,1,5,96,86,m,100,92
21,1,5,87,92,m,94,96
22,1,5,96,88,m,100,92
23,1,5,89,90,m,95,94
24,1,5,97,89,a,107,104
25,1,5,93,92,m,97,97
26,1,5,90,91,m,96,96
27,1,5,91,92,m,97,97
28,1,5,95,91,m,100,94
29,1,5,96,93,a,107,104
30,2,1,118,117,m,113,111
31,2,1,117,115,m,112,110
32,2,1,116,114,m,111,111
33,2,1,117,116,m,112,110
34,2,1,115,113,m,110,109
35,2,1,115,116,m,112,110
36,2,1,114,112,a,97,94
37,2,1,114,115,m,110,110
38,2,1,114,110,m,110,107
39,2,1,117,114,m,114,108
40,2,1,116,113,a,97,94
41,2,1,113,109,a,97,94
42,2,1,112,107,a,97,94
43,2,1,115,109,a,97,94
44,2,1,110,107,a,97,94
45,2,1,113,113,a,97,94
46,2,1,111,112,a,97,94
47,2,1,112,115,m,110,110
48,2,1,109,105,a,97,94
49,2,1,113,111,a,97,94
50,2,1,110,110,a,97,94
51,2,1,112,110,a,97,94
52,2,1,110,105,a,97,94
53,2,1,111,114,a,97,94
54,2,5,109,111,a,97,94
55,2,5,116,111,a,97,94
56,2,5,107,104,a,97,94
0,1,0,94,92,m,99,96
1,1,0,96,94,m,99,97
2,1,0,96,95,m,99,96
3,1,0,96,95,m,98,100
4,1,0,100,93,m,105,100
5,1,0,100,98,m,105,102
6,1,0,104,101,x,0,0
7,1,0,98,96,m,102,101
8,1,0,103,94,m,107,101
9,1,0,98,97,m,103,103
10,1,0,101,91,m,105,97
11,1,5,93,94,m,94,99
12,1,5,91,93,m,96,95
13,1,5,97,91,m,96,96
14,1,5,99,92,m,105,91
15,1,5,98,93,m,95,97
16,1,5,100,92,a,107,104
17,1,5,98,93,m,94,98
18,1,5,93,95,m,97,94
19,1,5,99,93,m,95,97
20,1,5,100,92,m,104,92
21,1,5,94,96,a,107,104
22,1,5,101,92,m,104,92
23,1,5,95,95,m,95,100
24,1,5,100,94,i,0,0
25,1,5,97,97,a,107,104
26,1,5,96,95,m,100,92
27,1,5,94,98,a,107,104
28,1,5,101,92,a,107,104
29,1,5,98,95,i,0,0
30,2,1,113,111,m,113,111
31,2,1,113,110,i,0,0
32,2,1,111,111,a,104,101
33,2,1,112,110,a,104,101
34,2,1,109,111,i,0,0
35,2,1,112,110,a,104,101
36,2,1,110,109,i,0,0
37,2,1,112,109,i,0,0
38,2,1,110,109,a,104,101
39,2,1,114,108,a,104,101
40,2,1,112,108,i,0,0
41,2,1,111,105,i,0,0
42,2,1,109,105,i,0,0
43,2,1,111,106,i,0,0
44,2,1,108,107,i,0,0
45,2,1,111,109,i,0,0
46,2,1,107,110,i,0,0
47,2,1,112,110,i,0,0
48,2,1,107,105,i,0,0
49,2,1,109,108,i,0,0
50,2,1,107,110,i,0,0
51,2,1,110,106,i,0,0
52,2,1,108,105,i,0,0
53,2,1,108,110,i,0,0
54,2,5,107,108,i,0,0
55,2,5,113,107,i,0,0
56,2,5,107,104,a,100,98
0,1,0,101,92,m,106,94
1,1,0,95,100,m,99,106
2,1,0,102,94,m,106,97
3,1,0,100,101,m,103,107
4,1,0,105,100,m,110,103
5,1,0,105,102,m,105,103
6,1,0,111,108,x,0,0
7,1,0,103,102,m,104,108
8,1,0,107,101,m,107,101
9,1,0,103,103,m,105,105
10,1,0,105,97,m,110,102
11,1,5,93,100,m,95,105
12,1,5,97,93,m,102,92
13,1,5,96,96,m,94,102
14,1,5,105,91,a,107,104
15,1,5,94,98,m,94,103
16,1,5,104,92,i,0,0
17,1,5,94,99,m,95,105
18,1,5,98,94,m,102,92
19,1,5,94,98,m,94,103
20,1,5,105,90,m,108,93
21,1,5,96,99,m,96,99
22,1,5,105,90,m,108,93
23,1,5,93,101,a,107,105
24,1,5,100,94,a,107,104
25,1,5,97,97,a,107,105
26,1,5,101,91,m,107,91
27,1,5,95,101,i,0,0
28,1,5,102,93,m,103,95
29,1,5,98,95,a,107,104
30,2,1,113,111,a,103,102
31,2,1,113,110,a,105,100
32,2,1,111,111,a,103,102
33,2,1,112,110,a,103,103
34,2,1,109,111,a,103,102
35,2,1,112,110,a,103,103
36,2,1,110,109,a,103,103
37,2,1,112,109,a,103,102
38,2,1,110,109,a,103,103
39,2,1,114,108,a,105,100
40,2,1,112,108,a,103,103
41,2,1,111,105,a,107,101
42,2,1,109,105,a,107,101
43,2,1,111,106,a,107,101
44,2,1,108,107,a,103,103
45,2,1,111,109,a,103,103
46,2,1,107,110,a,103,103
47,2,1,112,110,a,103,102
48,2,1,107,105,a,105,102
49,2,1,109,108,a,103,103
50,2,1,107,110,a,103,102
51,2,1,110,106,a,107,101
52,2,1,108,105,a,107,101
53,2,1,108,110,a,103,103
54,2,5,107,108,a,105,102
55,2,5,113,107,a,107,101
56,2,5,107,104,x,0,0
0,1,0,106,95,m,107,103
1,1,0,101,106,m,104,110
2,1,0,106,99,m,111,101
3,1,0,104,107,m,104,108
4,1,0,110,103,i,0,0
5,1,0,103,103,m,102,108
6,1,0,117,114,x,0,0
7,1,0,104,108,i,0,0
8,1,0,107,101,m,111,101
9,1,0,105,105,m,105,105
10,1,0,112,101,m,112,103
11,1,5,95,105,a,107,108
12,1,5,103,90,m,106,92
13,1,5,94,102,m,94,108
14,1,5,106,92,m,106,93
15,1,5,94,104,a,107,110
16,1,5,104,92,a,107,105
17,1,5,94,106,a,107,108
18,1,5,103,91,m,109,92
19,1,5,93,105,m,95,109
20,1,5,108,93,a,109,105
21,1,5,93,100,m,94,103
22,1,5,108,93,a,109,105
23,1,5,96,103,i,0,0
24,1,5,100,94,m,101,94
25,1,5,98,98,i,0,0
26,1,5,107,91,m,112,93
27,1,5,95,101,m,94,103
28,1,5,103,95,a,107,105
29,1,5,98,95,m,97,97
30,2,1,113,111,i,0,0
31,2,1,113,110,i,0,0
32,2,1,111,111,i,0,0
33,2,1,112,110,i,0,0
34,2,1,109,111,i,0,0
35,2,1,112,110,i,0,0
36,2,1,110,109,i,0,0
37,2,1,112,109,i,0,0
38,2,1,110,109,i,0,0
39,2,1,114,108,i,0,0
40,2,1,112,108,i,0,0
41,2,1,111,105,i,0,0
42,2,1,109,105,a,110,103
43,2,1,111,106,i,0,0
44,2,1,108,107,a,104,107
45,2,1,111,109,i,0,0
46,2,1,107,110,i,0,0
47,2,1,112,110,i,0,0
48,2,1,107,105,a,105,105
49,2,1,109,108,i,0,0
50,2,1,107,110,i,0,0
51,2,1,110,106,i,0,0
52,2,1,108,105,a,110,103
53,2,1,108,110,i,0,0
54,2,5,107,108,a,104,107
55,2,5,113,107,a,112,101
56,2,5,107,104,x,0,0
0,1,0,110,100,m,114,102
1,1,0,104,110,a,107,110
2,1,0,113,100,m,114,105
3,1,0,104,108,a,107,108
4,1,0,110,103,a,109,105
5,1,0,103,109,m,106,112
6,1,0,124,121,x,0,0
7,1,0,104,108,a,107,108
8,1,0,113,100,m,116,105
9,1,0,105,105,a,107,105
10,1,0,112,103,a,111,105
11,1,5,95,105,a,107,108
12,1,5,107,93,m,112,92
13,1,5,93,109,a,107,110
14,1,5,109,91,m,112,92
15,1,5,95,109,i,0,0
16,1,5,104,94,m,105,94
17,1,5,95,107,a,107,108
18,1,5,110,92,m,115,94
19,1,5,93,110,a,107,110
20,1,5,108,93,a,109,105
21,1,5,93,105,m,93,110
22,1,5,111,93,i,0,0
23,1,5,96,103,a,107,105
24,1,5,102,93,m,106,93
25,1,5,98,98,a,107,105
26,1,5,113,93,a,111,105
27,1,5,93,105,m,93,110
28,1,5,103,95,a,107,105
29,1,5,97,97,a,107,105
30,2,1,113,111,a,112,103
31,2,1,113,110,a,112,103
32,2,1,111,111,a,104,110
33,2,1,112,110,a,112,103
34,2,1,109,111,a,104,110
35,2,1,112,110,a,112,103
36,2,1,110,109,a,104,110
37,2,1,112,109,a,112,103
38,2,1,110,109,a,104,110
39,2,1,114,108,a,112,103
40,2,1,112,108,a,112,103
41,2,1,111,105,a,112,103
42,2,1,109,105,i,0,0
43,2,1,111,106,a,112,103
44,2,1,108,107,i,0,0
45,2,1,111,109,a,112,103
46,2,1,107,110,a,104,110
47,2,1,112,110,a,112,103
48,2,1,107,105,x,0,0
49,2,1,109,108,a,110,103
50,2,1,107,110,a,104,110
51,2,1,110,106,a,112,103
52,2,1,108,105,i,0,0
53,2,1,108,110,a,104,110
54,2,5,107,108,i,0,0
55,2,5,113,107,i,0,0
56,2,5,107,104,x,0,0
0,1,0,115,102,m,118,107
1,1,0,104,110,i,0,0
2,1,0,115,105,a,113,107
3,1,0,104,108,a,107,108
4,1,0,110,103,a,109,105
5,1,0,106,112,i,0,0
6,1,0,131,127,x,0,0
7,1,0,104,108,a,107,108
8,1,0,117,106,m,116,108
9,1,0,103,105,m,103,111
10,1,0,112,103,a,111,105
11,1,5,95,105,m,95,105
12,1,5,114,91,m,117,94
13,1,5,95,113,i,0,0
14,1,5,114,92,a,111,105
15,1,5,95,109,a,107,110
16,1,5,105,94,a,108,105
17,1,5,95,107,i,0,0
18,1,5,115,94,a,111,105
19,1,5,95,111,a,107,110
20,1,5,108,93,i,0,0
21,1,5,93,111,m,96,114
22,1,5,111,93,a,109,105
23,1,5,96,103,m,96,103
24,1,5,108,91,m,112,92
25,1,5,98,98,a,108,105
26,1,5,113,94,a,111,105
27,1,5,93,111,m,96,114
28,1,5,103,95,m,103,95
29,1,5,97,99,m,98,100
30,2,1,113,111,i,0,0
31,2,1,113,110,i,0,0
32,2,1,111,111,i,0,0
33,2,1,112,110,i,0,0
34,2,1,109,111,i,0,0
35,2,1,112,110,i,0,0
36,2,1,110,109,a,106,112
37,2,1,112,109,i,0,0
38,2,1,110,109,a,106,112
39,2,1,114,108,i,0,0
40,2,1,112,108,a,115,105
41,2,1,111,105,a,112,103
42,2,1,109,105,a,110,103
43,2,1,111,106,a,112,103
44,2,1,108,107,a,104,108
45,2,1,111,109,a,117,106
46,2,1,107,110,a,106,112
47,2,1,112,110,i,0,0
48,2,1,107,105,x,0,0
49,2,1,109,108,a,110,103
50,2,1,107,110,a,106,112
51,2,1,110,106,a,112,103
52,2,1,108,105,a,110,103
53,2,1,108,110,a,106,112
54,2,5,107,108,x,0,0
55,2,5,113,107,a,115,105
56,2,5,107,104,x,0,0
0,1,0,118,108,m,115,110
1,1,0,104,110,m,107,114
2,1,0,115,105,i,0,0
3,1,0,101,110,m,104,112
4,1,0,110,103,m,109,103
5,1,0,106,112,a,107,110
6,1,0,138,134,x,0,0
7,1,0,104,108,m,105,109
8,1,0,116,108,a,114,108
9,1,0,102,112,m,108,113
10,1,0,112,103,i,0,0
11,1,5,93,107,m,94,109
12,1,5,119,94,a,111,105
13,1,5,95,113,a,107,110
14,1,5,117,95,i,0,0
15,1,5,95,109,m,95,109
16,1,5,105,94,a,108,105
17,1,5,95,107,m,94,109
18,1,5,115,94,m,115,94
19,1,5,95,111,i,0,0
20,1,5,108,93,a,109,105
21,1,5,95,118,a,107,110
22,1,5,111,93,a,108,105
23,1,5,96,103,i,0,0
24,1,5,114,92,m,118,94
25,1,5,99,98,i,0,0
26,1,5,113,94,i,0,0
27,1,5,96,114,a,107,110
28,1,5,103,95,a,108,105
29,1,5,98,100,a,108,105
30,2,1,113,111,a,116,108
31,2,1,113,110,a,116,108
32,2,1,111,111,a,106,112
33,2,1,112,110,a,116,108
34,2,1,109,111,a,106,112
35,2,1,112,110,a,116,108
36,2,1,110,109,i,0,0
37,2,1,112,109,a,116,108
38,2,1,110,109,i,0,0
39,2,1,114,108,a,116,108
40,2,1,112,108,i,0,0
41,2,1,111,105,x,0,0
42,2,1,109,105,x,0,0
43,2,1,111,106,i,0,0
44,2,1,108,107,i,0,0
45,2,1,111,109,i,0,0
46,2,1,107,110,i,0,0
47,2,1,112,110,a,116,108
48,2,1,107,105,x,0,0
49,2,1,109,108,i,0,0
50,2,1,107,110,x,0,0
51,2,1,110,106,i,0,0
52,2,1,108,105,i,0,0
53,2,1,108,110,i,0,0
54,2,5,107,108,x,0,0
55,2,5,113,107,a,115,105
56,2,5,107,104,x,0,0
0,1,0,115,110,a,113,110
1,1,0,107,116,m,111,114
2,1,0,115,105,a,113,107
3,1,0,105,114,m,110,115
4,1,0,117,103,m,117,106
5,1,0,106,112,a,107,110
6,1,0,145,140,x,0,0
7,1,0,105,109,a,107,110
8,1,0,116,108,a,114,108
9,1,0,108,113,i,0,0
10,1,0,112,103,m,117,105
11,1,5,93,111,m,96,114
12,1,5,118,96,a,113,107
13,1,5,96,113,a,107,110
14,1,5,117,95,m,119,95
15,1,5,93,112,m,95,114
16,1,5,105,94,i,0,0
17,1,5,93,111,m,96,114
18,1,5,118,94,m,121,98
19,1,5,95,111,m,95,114
20,1,5,108,93,m,111,93
21,1,5,98,116,i,0,0
