Net,P1Score,P2Score
25,7788,7762
25,7788,7762
25,7788,7762
25,7788,7762
75,7838,7762
125,7888,7762
175,7938,7762
175,7938,7762
-62,8138,8200
-12,8188,8200
-288,8188,8475
-325,8288,8612
-1100,8388,9488
-950,8538,9488
-1125,8638,9762
-1300,8738,10038
-1675,8938,10612
-1625,8988,10612
-2150,9038,11188
-2325,9138,11462
-2312,9288,11600
-2838,9338,12175
-3150,9438,12588
-3100,9488,12588
-3238,9488,12725
-3900,9538,13438
-4238,9638,13875
-4812,9638,14450
-5088,9638,14725
-5225,9638,14862
-5500,9638,15138
-5588,9688,15275
-5862,9688,15550
