ID,TeamIdx,BotIdx,PosX,PosY,Action,ActX,ActY
0,1,11,60,60,i,0,0
1,1,11,62,61,i,0,0
2,1,3,62,63,i,0,0
3,1,3,64,64,i,0,0
4,1,3,64,62,i,0,0
5,1,3,66,61,i,0,0
6,1,3,65,65,i,0,0
7,1,3,67,63,i,0,0
8,1,3,61,65,i,0,0
9,1,3,67,65,i,0,0
10,1,3,65,66,i,0,0
11,1,3,66,68,i,0,0
12,1,3,69,65,i,0,0
13,1,3,68,69,i,0,0
14,1,3,70,63,i,0,0
15,1,3,71,64,i,0,0
16,1,3,60,67,i,0,0
17,1,3,63,66,i,0,0
18,1,3,65,70,i,0,0
19,1,3,69,61,i,0,0
20,1,3,63,60,i,0,0
21,1,3,69,70,i,0,0
22,1,3,72,66,i,0,0
23,1,3,70,72,i,0,0
24,1,3,63,68,i,0,0
25,1,3,70,74,i,0,0
26,1,3,74,65,i,0,0
27,1,3,65,72,i,0,0
28,1,3,71,62,i,0,0
29,1,3,62,69,i,0,0
30,1,3,63,71,i,0,0
31,1,3,67,73,i,0,0
32,1,3,75,66,i,0,0
33,1,3,65,73,i,0,0
34,1,3,76,68,i,0,0
35,1,16,65,76,i,0,0
36,1,16,74,61,i,0,0
37,1,16,77,71,i,0,0
38,1,16,63,80,i,0,0
39,1,16,67,81,i,0,0
40,1,16,72,77,i,0,0
41,1,16,66,85,i,0,0
42,1,16,76,78,i,0,0
43,1,16,71,82,i,0,0
44,1,16,72,86,i,0,0
45,1,16,82,72,i,0,0
46,1,16,78,62,i,0,0
47,1,16,85,76,i,0,0
48,1,16,76,88,i,0,0
49,1,16,70,90,i,0,0
50,1,16,69,94,i,0,0
51,1,16,71,97,m,79,100
52,2,11,140,140,i,0,0
53,2,11,138,139,i,0,0
54,2,11,139,137,i,0,0
55,2,11,137,136,i,0,0
56,2,11,139,134,i,0,0
57,2,11,139,132,i,0,0
58,2,11,140,130,i,0,0
59,2,11,136,134,i,0,0
60,2,11,136,132,i,0,0
61,2,11,139,128,i,0,0
62,2,11,137,140,i,0,0
63,2,11,136,138,i,0,0
64,2,11,136,130,i,0,0
65,2,11,137,127,i,0,0
66,2,11,133,137,i,0,0
67,2,11,134,134,i,0,0
68,2,11,134,130,i,0,0
69,2,11,136,125,i,0,0
70,2,11,139,126,i,0,0
71,2,11,135,140,i,0,0
72,2,11,135,128,i,0,0
73,2,11,132,132,i,0,0
74,2,11,132,129,i,0,0
75,2,11,137,123,i,0,0
76,2,11,134,123,i,0,0
77,2,11,139,124,i,0,0
78,2,11,133,127,i,0,0
79,2,11,138,121,i,0,0
80,2,11,131,138,i,0,0
81,2,11,136,121,i,0,0
82,2,11,130,130,i,0,0
83,2,11,131,126,i,0,0
84,2,9,130,137,i,0,0
85,2,9,138,119,i,0,0
86,2,9,132,123,i,0,0
87,2,9,129,135,i,0,0
88,2,9,132,121,i,0,0
89,2,9,129,129,i,0,0
90,2,9,129,126,i,0,0
91,2,9,127,135,i,0,0
92,2,9,125,136,i,0,0
93,2,9,128,124,i,0,0
94,2,22,127,128,i,0,0
95,2,22,129,122,i,0,0
96,2,39,124,125,i,0,0
97,2,39,128,133,i,0,0
98,2,39,133,119,i,0,0
99,2,39,129,139,i,0,0
100,2,39,124,130,i,0,0
101,2,39,122,122,i,0,0
102,2,39,139,117,i,0,0
103,2,39,135,116,i,0,0
104,2,39,120,120,i,0,0
105,2,39,120,117,i,0,0
106,2,39,137,114,i,0,0
107,2,39,121,129,i,0,0
108,2,39,123,120,i,0,0
0,1,11,68,70,m,76,79
1,1,11,70,71,m,77,79
2,1,3,65,67,m,68,70
3,1,3,67,68,m,69,71
4,1,3,68,66,i,0,0
5,1,3,69,66,m,71,68
6,1,3,69,69,m,71,71
7,1,3,71,66,i,0,0
8,1,3,65,68,i,0,0
9,1,3,71,69,i,0,0
10,1,3,69,70,m,70,73
11,1,3,70,71,i,0,0
12,1,3,72,68,i,0,0
13,1,3,71,73,m,73,75
14,1,3,74,67,i,0,0
15,1,3,74,69,m,76,71
16,1,3,64,71,m,66,73
17,1,3,67,70,m,69,72
18,1,3,69,74,m,71,75
19,1,3,72,66,m,74,68
20,1,3,66,64,m,69,68
21,1,3,72,74,m,74,76
22,1,3,75,71,m,77,72
23,1,3,74,75,m,78,79
24,1,3,66,71,m,68,74
25,1,3,74,78,m,74,79
26,1,3,76,69,m,78,71
27,1,3,69,75,i,0,0
28,1,3,74,66,m,76,69
29,1,3,66,73,m,68,75
30,1,3,67,74,m,69,76
31,1,3,70,76,m,72,78
32,1,3,78,70,m,79,72
33,1,3,68,77,m,70,78
34,1,3,78,73,m,79,74
35,1,16,71,81,i,0,0
36,1,16,78,68,m,81,74
37,1,16,83,77,i,0,0
38,1,16,69,85,m,73,88
39,1,16,73,86,m,76,88
40,1,16,78,82,i,0,0
41,1,16,73,90,m,75,91
42,1,16,81,84,m,82,86
43,1,16,77,88,m,79,89
44,1,16,79,91,m,85,96
45,1,16,86,79,m,87,82
