Net,P1Score,P2Score
-2388,11225,13612
-2388,11225,13612
-2388,11225,13612
-2388,11225,13612
-2388,11225,13612
-2388,11225,13612
-2388,11225,13612
-2388,11225,13612
-2388,11225,13612
-1838,11775,13612
-1562,12050,13612
-1288,12325,13612
-738,12875,13612
-762,13288,14050
-788,13700,14488
-950,13975,14925
-2862,14250,17112
-2450,14662,17112
-3188,14800,17988
-4225,15075,19300
-4962,15212,20175
-4688,15488,20175
-5700,15488,21188
-5588,16038,21625
-5725,16038,21762
-6325,16312,22638
-6625,16450,23075
-7500,16450,23950
-7938,16450,24388
-7938,16450,24388
-7938,16450,24388
-7800,16588,24388
-7800,16588,24388
-7800,16588,24388
-7662,16725,24388
-7662,16725,24388
-7525,16862,24388
-7525,16862,24388
-7975,16862,24838
