Net,P1Score,P2Score
1375,7750,6375
1375,7750,6375
1375,7750,6375
1350,7750,6400
1300,7750,6450
1175,7750,6575
1050,7750,6700
1262,8188,6925
1600,8625,7025
1500,8625,7125
1838,9062,7225
3075,10375,7300
3025,10375,7350
3362,10812,7450
3450,10950,7500
3688,11288,7600
3750,11425,7675
3600,11425,7825
3638,11562,7925
3775,11700,7925
4225,12175,7950
4450,12450,8000
5038,13162,8125
5175,13300,8125
5288,13438,8150
5400,13575,8175
5325,13575,8250
5462,13712,8250
5462,13712,8250
5712,13988,8275
5850,14125,8275
